video_id,title,publishedAt,channelId,category,channelTitle,categoryId,trending_date,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,publish_date,publish_time,publish_hour,days_before_trend,views_per_day
-nEu2im6chs,ഇതൊരു ഒന്നൊന്നര ചോറാട്ടോ 😋 വളരെ എളുപ്പം /കുഴിയും കുക്കറും വേണ്ട/സൂപ്പർ ടേസ്റ്റ് Chicken Mandi,2019-11-19T07:15:00.000Z,UCuTP37tw8DQUidk9QhKiD6A,Howto & Style,Fadwas Kitchen,26,2019-11-21,Fadwas Kitchen|Kerala food|India food|South Indian food|Malayalam|Malabar food|Chicken Mandi|Mandi|മന്തി|Mutton Mandi|Fish Mandi|Beef Mandi|Al Mandi Al madbi|Fadwas Kitchen Mandi|Fadwas,140763,4722,167,1029,https://i.ytimg.com/vi/-nEu2im6chs/default.jpg,False,False,2019-11-19,07:15:00,7,2,70381.5
v9MvmSV9YhA,Jibana Do Chhakire Ashara Aloka,2019-11-20T03:50:41.000Z,UCCgLMMp4lv7fSD2sBz1Ai6Q,News & Politics,OTV,25,2019-11-21,otv|otv news|odisha tv|odishatv|odisha news|latest odisha news|odisha current news|breaking news odisha|otv odisha|odisha tv latest|latest news otv|latest odia News|naveen patnaik|bhubaneswar|bhubaneswar news|ଓଟିଭି|ଓଡିଶା ଖବର|ଓଡ଼ିଆ news|jibana do chaki re ashara aloka 2019|jibana do chaki re ashara aloka 2019 last episode|jibana do chaki re,150680,3131,131,223,https://i.ytimg.com/vi/v9MvmSV9YhA/default.jpg,False,False,2019-11-20,03:50:41,3,1,150680.0
spZg6B5otcE,🔴 (LIVE) BANBORA (SANGRUR) KABADDI TOURNAMENT 19-11-2019/www.123Live.in,2019-11-20T00:08:10.000Z,UCg8HYOPRXEczkPnGlHfhUyw,Sports,Kabaddi 123 kabaddi 123,17,2019-11-21,KABADDI|KABADDI LIVE|LIVE KABADDI|123 KABADDI|123LIVE|KABADDI PUNJAB|BEST MATCH|FINAL KABADDI|SHAHKOT|USA ROYALS|KABADDI CANADA,239630,2573,196,3,https://i.ytimg.com/vi/spZg6B5otcE/default.jpg,False,False,2019-11-20,00:08:10,0,1,239630.0
hvHgGgqozJ4,Kashmir में Article 370 हटाए जाने के 100 दिन बाद हालात कितने बदले हैं? (BBC Hindi),2019-11-20T08:09:52.000Z,UCN7B-QD0Qgn2boVH5Q0pOWg,News & Politics,BBC News Hindi,25,2019-11-21,वीडियो: रियाज़ मसरूर/शफ़ात फ़ारूक़ जम्मू कश्मीर|अनुच्छेद 370|नरेंद्र मोदी|मोदी सरकार|अमित शाह|कश्मीरी|कश्मीरी आवाम|कश्मीर में तनाव|कश्मीर ट्रैवल|कश्मीर टूरिज्म|कश्मीर डल लेक|कश्मीरी महिला|कश्मीर सेब|कश्मीर बर्फबारी|बीबीसी हिन्दी|kashmir|article 370|kashmir tension|kashmir violence|kashmir army|kashmir travel|kashmir tourism|kashmiri women|kashmir life|kashmir news,203333,0,0,1231,https://i.ytimg.com/vi/hvHgGgqozJ4/default.jpg,False,True,2019-11-20,08:09:52,8,1,203333.0
ALIdx-x-nLY,TSRTC Strike Ends LIVE : Finally RTC JAC Stops Strike According To High Court Decision,2019-11-20T15:54:22.000Z,UCtlOBrA93cytbIp0YzX_0YA,News & Politics,Bharat Today,25,2019-11-21,TSRTC Final Judgement|High Court Judgment On TSRTC Strike|TSRTC|TSRTC Employees|TSRTC Employees Union|RTC Buses Strike in Telangana|Employees Union Samme|Telangana RTC Stir|Telangana State Road Transport Corporation|indefinite strike|TSRTC Demands|TSRTC employees|Joint Action Committee|CM KCR|Telangana CM KCR Fires On TSRTC|Telangana movement|indefinite strike by unions|TSRTC Employees strike|workers' unions|TSRTC began|TSRTC unions|TSRTC Live,73997,252,60,19,https://i.ytimg.com/vi/ALIdx-x-nLY/default.jpg,False,False,2019-11-20,15:54:22,15,1,73997.0
SQe-aioB350,4 நடிகர்களோடு மல்லுக்கட்டும் அதிமுக!  | தி இம்பர்ஃபெக்ட் ஷோ‌ 20/11/2019,2019-11-20T13:30:00.000Z,UCEhsOgK2u8GDDoynMCj78Ng,News & Politics,Vikatan TV,25,2019-11-21,Imperfect show|imperfect show series|imperfect show today|imperfect show vikatan|vikatan imperfect show|imperfect show vikatan webtv|stalin|ajith vijay|kamal|rajini|kamal rajini speech|kamal speech|kamal pressmeet|murasoli|stalin news|political news|political updates|political,56224,1595,93,385,https://i.ytimg.com/vi/SQe-aioB350/default.jpg,False,False,2019-11-20,13:30:00,13,1,56224.0
9M8xydB39Ug,"Champaklal Breaks His Glasses | Taarak Mehta Ka Oolta Chasma | Mon-Fri, 8:30",2019-11-19T17:16:01.000Z,UC6-F5tO8uklgE9Zy8IvbdFw,Entertainment,SAB TV,24,2019-11-21,tarak mehta all episodes|promo|all new episodes|sonyliv|reporter|dilip joshi|taarak mehta ka oolta chasma|hansraj hathi|tarak mehta ulta chasma|taarak mehta ka ooltah chashmah|tarak mehta episode|sabtv|anjali taarak mehta|latest episodes|sab tv|taarak mehta|funny|hindi comedy show|hd|disha vakani|jethalal champaklal gada|bhide|setindia|old episodes|indian comedy|popatlal tmkoc|tarak promo|tmkoc promo|tmkoc|champaklal chasma|champaklal specs broken,121780,1530,54,36,https://i.ytimg.com/vi/9M8xydB39Ug/default.jpg,False,False,2019-11-19,17:16:01,17,2,60890.0
VjKIgYXzprk,"Aaj Ki Baat with Rajat Sharma | November 20, 2019",2019-11-20T17:16:57.000Z,UCttspZesZIDEwwpVIgoZtWQ,News & Politics,IndiaTV,25,2019-11-21,amit shah|amit shah on nrc bill|mamata banerjee|amit shah mamata banerjee|aaj ki baat|aaj ki baat live|aaj ki baat today|aaj ki baat india tv|aaj ki baat rajat sharma ke sath|aaj ki baat rajat sharma today|aaj ki baat rajat sharma live|rajat sharma india tv|rajat sharma aaj ki baat|rajat sharma aaj ki baat live|rajat sharma live|India TV|india tv news|india tv live|india tv news live|india tv hindi news|india tv channel live|india tv live news,145539,2561,274,193,https://i.ytimg.com/vi/VjKIgYXzprk/default.jpg,False,False,2019-11-20,17:16:57,17,1,145539.0
TLh3M40wsqY,Dono mile is tarah | 2 Foreigners In Bollywood,2019-11-17T06:04:00.000Z,UCnuen5DBNNREHhvC-VY296Q,Entertainment,2 Foreigners In Bollywood,24,2019-11-21,2 Foreigners In Bollywood|foreigners in india|ashish chanchlani|TVF|bb ki vines|foreigners in bollywood,1474800,76920,14573,4403,https://i.ytimg.com/vi/TLh3M40wsqY/default.jpg,False,False,2019-11-17,06:04:00,6,4,368700.0
d-XJzZdjcVQ,He Abused Them Like Hell | Mumbai Biggest Flea Market | SS vlogs :-),2019-11-19T06:21:26.000Z,UChZ0JmGgyOWSU-1iXxPhsVA,People & Blogs,Sambhavna Seth Entertainment,22,2019-11-21,sambhavna seth|ss vlogs|indian vlogger|celebrity vlogger|food vlogger|the lil flea market|flea market mumbai|bigg boss|funny vlogs|husband wife vlogs,178288,13239,297,1083,https://i.ytimg.com/vi/d-XJzZdjcVQ/default.jpg,False,False,2019-11-19,06:21:26,6,2,89144.0
